Symbol\Weightage,['apr12']
NESTLEIND,1.56
ONGC,0.71
POWERGRID,1.01
RELIANCE,11.54
SHREECEM,0.64
SBIN,1.78
SUNPHARMA,1.22
TCS,5.15
TATAMOTORS,0.41
TATASTEEL,0.55
TECHM,0.82
TITAN,0.99
UPL,0.56
ULTRACEMCO,0.99
VEDL,0.40
WIPRO,0.69
ZEEL,0.35
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Symbol\Weightage,['apr21.zip']
ADANIPORTS,0.84
ASIANPAINT,1.81
AXISBANK,2.84
BAJAJ-AUTO,0.79
BAJFINANCE,2.28
BAJAJFINSV,1.06
BPCL,0.62
BHARTIARTL,2.05
BRITANNIA,0.64
CIPLA,0.73
COALINDIA,0.44
DIVISLAB,0.82
DRREDDY,0.99
EICHERMOT,0.53
GRASIM,0.85
HCLTECH,1.54
HDFCBANK,9.72
HDFCLIFE,0.87
HEROMOTOCO,0.58
HINDALCO,0.84
HINDUNILVR,3.32
HDFC,6.89
ICICIBANK,6.56
ITC,2.80
IOC,0.36
INDUSINDBK,0.83
INFY,7.93
JSWSTEEL,1.10
KOTAKBANK,4.05
LT,2.56
M&M,1.14
MARUTI,1.36
NTPC,0.77
NESTLEIND,0.92
ONGC,0.62
POWERGRID,0.89
RELIANCE,10.19
SBILIFE,0.57
SHREECEM,0.59
SBIN,2.14
SUNPHARMA,1.12
TCS,4.97
TATACONSUM,0.63
TATAMOTORS,0.83
TATASTEEL,1.27
TECHM,0.94
TITAN,0.98
UPL,0.53
ULTRACEMCO,1.15
WIPRO,1.15
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Symbol\Weightage,['aug12']
,%
ACC,0.74
AMBUJACEM,0.85
ASIANPAINT,1
AXISBANK,1.57
BAJAJ-AUTO,1.32
BANKBARODA,0.65
BHARTIARTL,1.8
BHEL,1.02
BPCL,0.53
CAIRN,0.9
CIPLA,1.16
COALINDIA,1.35
DLF,0.43
DRREDDY,1.29
GAIL,0.97
GRASIM,1.15
HCLTECH,0.87
HDFC,6.72
HDFCBANK,6.56
HEROMOTOCO,1.02
HINDALCO,0.81
HINDUNILVR,3.22
ICICIBANK,6.32
IDFC,1
